text,label
"Your SBI account KYC has expired. Update immediately at http://sbi-kyc-update.xyz or your account will be blocked within 24 hours.",1
"Dear customer your PAN card has been linked to suspicious activities. Call 9876543210 immediately to avoid account freeze.",1
"Congratulations! You have won Rs 50 lakh in the Amazon Lucky Draw. Click here to claim: http://amazon-prize.tk",1
"URGENT: Your electricity connection will be disconnected in 2 hours. Pay Rs 500 now at this link to avoid disconnection.",1
"Your UPI ID has been selected for a cashback of Rs 10000. Send Rs 100 to verify your account and receive the reward.",1
"TRAI has decided to disconnect your mobile number within 2 hours due to illegal activity. Press 1 to speak to officer.",1
"Dear user your Paytm wallet will be blocked. Complete eKYC by clicking http://paytm-kyc-verify.in within 24 hours.",1
"SBI Alert: Your debit card 4XXX has been blocked due to suspicious activity. Call 1800XXXXXX to reactivate immediately.",1
"You have received a payment request of Rs 5000 from UNKNOWN. Accept to receive money in your bank account now.",1
"Your Aadhaar card has been suspended due to unusual activity. Visit http://aadhaar-reactivate.com to resolve this issue.",1
"IRCTC has selected your mobile number for a free train ticket. Share your OTP to claim your ticket booking.",1
"Invest Rs 5000 today and earn Rs 50000 guaranteed within 7 days. Join our WhatsApp group for daily stock tips.",1
"Alert: Your HDFC credit card application is approved. Share your PAN and Aadhaar to process the delivery of card.",1
"Government is giving Rs 2500 to all citizens under PM Jan Dhan Yojana. Click http://pmjandhan.tk to apply.",1
"Your GPay account has been temporarily locked due to policy violation. Login at http://gpay-unlock.xyz to restore.",1
"FAKE IPO Alert: Invest in XYZ Tech IPO launching tomorrow. Guaranteed 200% returns. Transfer money to this UPI ID.",1
"Your WhatsApp will expire today. Forward this message to 10 groups to extend your subscription.",1
"Income Tax Department: Your refund of Rs 15000 is pending. Click http://incometax-refund.in to process instantly.",1
"Airtel Network: Your number will be disconnected in 4 hours due to pending verification. Call 9012345678 now.",1
"Dear customer you have an unclaimed insurance amount of Rs 75000. Share your bank details to receive the amount.",1
"FREE iPhone 16 giveaway by Flipkart! Just fill this form and pay Rs 49 shipping: http://flipkart-free.tk",1
"RBI Warning: Your bank account will be frozen within 48 hours if not linked to Aadhaar. Update now at http://rbi-aadhaar.com",1
"Your KYC is about to expire immediately transfer Rs 500 to this number 9XXXXXXXXX or your account will be permanently closed SBI urgent",1
"FASTag recharge failed your vehicle toll account will be blacklisted tomorrow click http://fastag-pay.in to recharge instantly",1
"You received Rs 1 lakh cashback on your Amazon purchase click this link within 30 minutes or it will expire forever",1
"RBI new rule all bank accounts must be re-verified by clicking http://bank-verify-india.com or funds will be frozen",1
"Free job offer work from home earn Rs 50000 daily no investment needed join our team now send your details to this number",1
"Congratulations your CIBIL score qualifies you for a pre-approved loan of Rs 10 lakh at 0% interest click http://loan-offer.xyz",1
"Dear taxpayer your income tax return has errors pay Rs 2000 penalty immediately at http://it-penalty.com",1
"Your son has been arrested by cyber crime cell transfer Rs 25000 to release him immediately call this number",1
"Win a Royal Enfield Bullet free just share this message to 20 friends and fill form at http://royalenfield-free.tk",1
"NPCI alert your UPI services will be suspended in 24 hours due to non-compliance verify at http://npci-verify.in",1
"Custom department has seized a parcel in your name containing illegal items pay Rs 5000 customs duty to release",1
"Your mutual fund NAV has crashed 90% sell immediately by calling this number or lose everything today itself",1
"PNB customer your account has been temporarily frozen please click http://pnb-verify.xyz to restore access immediately",1
"Axis Bank alert your internet banking password will expire today update at http://axis-banking-update.ml",1
"You have been selected for a government scholarship of Rs 75000 apply now at http://scholarship-india.tk",1
"Your WhatsApp account will be deleted in 24 hours unless you verify by clicking http://whatsapp-verify.xyz",1
"ICICI Bank: Your loan EMI is overdue. Pay immediately at http://icici-emi.tk or face legal action within 48 hours.",1
"Dear customer your SBI Yono app is blocked due to security breach. Reactivate at http://sbi-yono-reactivate.xyz",1
"Jio customer your number has been selected for free 1 year recharge share your Aadhaar number to claim",1
"Urgent: Your gas connection will be disconnected tomorrow. Pay Rs 1200 at http://indane-gas-pay.xyz immediately",1
"You have won a brand new car in Maruti Suzuki lucky draw! Pay Rs 5000 registration at http://maruti-winner.tk",1
"EPFO alert: Your PF account is being transferred to unknown account. Verify at http://epf-verify.in now",1
"Your Netflix subscription expired. Update payment at http://netflix-payment-update.ml to continue watching",1
"Dear citizen your voter ID has discrepancy. Update at http://voter-id-update.xyz or it will be cancelled",1
"PhonePe cashback of Rs 5000 pending. Accept collect request to receive money in your bank account instantly",1
"Your BSNL number will be permanently deactivated. Call 8765432109 and share your Aadhaar to continue service",1
"HDFC Bank pre-approved personal loan of Rs 5 lakh at 0% interest. Share PAN and bank statement to process",1
"Mumbai Police cyber cell: Your name appears in fraud case. Pay fine Rs 10000 at http://police-fine.xyz",1
"LIC policy bonus of Rs 2 lakh ready. Share policy number and bank details to process the amount",1
